r_kpc,V_obs,V_err,V_gas,V_disk,V_bulge,V_baryon,V_ent,V_total,residual
6.46,126.0,0.45,31.7,87.9,0.0,93.44142550282504,57.10184155120689,109.50762671402909,16.492373285970913
6.96,126.0,0.55,33.29,84.95,0.0,91.23993971940139,57.84694930685934,108.03238470065517,17.96761529934483
7.45,126.0,0.45,34.99,81.98,0.0,89.13484447734231,58.44276903373621,106.58601105365862,19.413988946341377
7.95,126.0,0.24,36.58,79.11,0.0,87.15783671018917,58.92863454073379,105.20965957950516,20.790340420494843
8.45,127.0,1.45,38.38,76.42,0.0,85.51631891048632,59.304206618894085,104.0674287310707,22.932571268929294
8.94,128.0,1.12,39.97,74.09,0.0,84.18389988590455,59.57626742698614,103.13224830542468,24.86775169457532
9.44,128.0,1.68,41.47,71.75,0.0,82.87233193291956,59.765751390169626,102.17518504623108,25.82481495376892
9.94,127.0,2.56,42.57,69.58,0.0,81.5694875550901,59.874965120499645,101.18593157243278,25.81406842756722
10.43,127.0,1.24,43.96,67.61,0.0,80.64486158460439,59.911644345864836,100.46391804138139,26.53608195861861
10.93,128.0,0.21,45.06,65.75,0.0,79.70863253123842,59.884129556508334,99.6974175831083,28.302582416891696
11.43,130.0,1.13,45.76,64.12,0.0,78.77405664303446,59.797202598477476,98.89922870580621,31.10077129419379
11.92,130.0,2.23,46.15,62.55,0.0,77.73239350489601,59.65976850258616,97.98782055838456,32.012179441615444
12.42,132.0,2.68,46.65,61.06,0.0,76.84104437083087,59.4711828440982,97.16670051450835,34.83329948549165
12.92,133.0,2.68,46.95,59.67,0.0,75.92635510809143,59.23829902125554,96.30154448881746,36.698455511182544
13.42,133.0,3.37,46.75,58.37,0.0,74.7838177682846,58.96526064400742,95.23403468726782,37.76596531273218
13.91,133.0,3.81,46.25,57.26,0.0,73.60550319099788,58.66235694471606,94.1224852110763,38.877514788923705
14.41,133.0,2.56,45.95,56.12,0.0,72.53176476551498,58.32060272889513,93.07066993775004,39.92933006224996
14.91,134.0,0.56,45.66,55.05,0.0,71.52159184470099,57.94896664330075,92.05118595122164,41.94881404877836
15.4,134.0,0.79,45.26,54.06,0.0,70.50497287425901,57.55854038338479,91.01613467438472,42.983865325615284
15.9,133.0,0.67,44.76,53.11,0.0,69.45595510825547,57.13597750486588,89.93692025768138,43.06307974231862
16.4,134.0,2.35,44.16,52.26,0.0,68.41939198794446,56.69140258065023,88.854534642647,45.145465357353004
16.89,134.0,4.13,43.36,51.43,0.0,67.26911995856642,56.236504868693686,87.67941023893015,46.320589761069854
17.39,136.0,3.91,42.67,50.61,0.0,66.19743952752252,55.75472820498759,86.54877652059582,49.45122347940418
17.89,136.0,6.38,41.87,49.84,0.0,65.09318320684586,55.25704972329004,85.3842142560447,50.6157857439553
18.38,135.0,8.39,41.07,49.16,0.0,64.05818058608908,54.75557140982089,84.27112851039789,50.72887148960211
18.88,133.0,7.83,40.27,48.46,0.0,63.00828913722384,54.23140145122615,83.13296219529323,49.86703780470677
19.38,134.0,6.26,39.87,47.78,0.0,62.22977824161034,53.69611886622406,82.1937861477111,51.806213852288906
19.87,136.0,5.6,39.87,47.15,0.0,61.74738375024483,53.1620792400581,81.47972796423792,54.520272035762076
20.37,135.0,5.24,39.87,46.52,0.0,61.267669288132716,52.60872899920518,80.75522067898652,54.24477932101348
20.87,134.0,3.12,39.87,45.97,0.0,60.85111174004958,52.048043977096185,80.07406997175639,53.92593002824361
