t,a,z,R,H,rho_m,rho_eff,w_eff,rho_m_over_rho_eff
248.62431215607805,0.0004697401771649885,10.0,98.03225167921306,0.010206745738013999,3.686293963567096e-07,0.00031216434628504407,-0.9996067055080324,0.001180882444595726
249.12456228114058,0.00047214475483364033,10.0,98.03254471180296,0.010206623763668387,3.630258746593292e-07,0.00031216248008458135,-0.9996126764302268,0.0011629388469779143
249.62481240620312,0.00047456161268776155,10.0,98.0328332930621,0.010206503643028459,3.575075963450654e-07,0.00031216064224911453,-0.9996185567111294,0.001145268006143332
250.12506253126566,0.000476990813734114,10.0,98.0331174906346,0.010206385347899248,3.520732623321984e-07,0.0003121588323471052,-0.9996243477243045,0.0011278657716809702
250.6253126563282,0.00047943242130339106,10.0,98.03339737115189,0.010206268850508357,3.4672159308129497e-07,0.00031215704995349026,-0.9996300508813762,0.0011107280554225978
251.12556278139073,0.0004818864990380977,10.0,98.03367300013028,0.010206154123549171,3.4145133058534697e-07,0.00031215529465033397,-0.9996356675741154,0.0010938508378268241
251.62581290645323,0.00048435311090536435,10.0,98.03394444210346,0.010206041140125308,3.362612358083806e-07,0.00031215356602598256,-0.9996411990762677,0.001077230159787415
252.12606303151577,0.00048683232120209994,10.0,98.03421176066753,0.010205929873731723,3.3115008781155587e-07,0.00031215186367477735,-0.9996466466317905,0.001060862119844885
252.6263131565783,0.0004893241945549913,10.0,98.03447501848089,0.010205820298254772,3.261166837531683e-07,0.00031215018719705427,-0.9996520114848655,0.0010447428741963151
253.12656328164084,0.0004918287959205038,10.0,98.03473427726428,0.010205712387972266,3.2115983888864793e-07,0.0003121485361991431,-0.9996572948798,0.0010288686367049176
253.62681340670338,0.0004943461905848807,10.0,98.03498959780077,0.010205606117553513,3.162783865705594e-07,0.0003121469102933665,-0.9996624980605092,0.0010132356789093633
254.1270635317659,0.0004968764441642662,10.0,98.03524103993661,0.010205501462059029,3.1147117823247116e-07,0.00031214530909803444,-0.9996676222417594,0.0009978403299812154
254.62731365682842,0.000499419622612276,10.0,98.03548866262432,0.010205398396922175,3.0673708253663514e-07,0.00031214373223716844,-0.9996726686665417,0.0009826789740041127
255.12756378189096,0.0005019757922089888,10.0,98.03573252383745,0.010205296897984955,3.020749870199434e-07,0.00031214217934104403,-0.9996776385727653,0.0009677480552536884
