x,y,z,laplacian,cluster_label
0,1,28,-0.0155842293688726,0
0,1,29,0.0821392781564271,0
0,1,30,-0.0498241690792957,0
0,1,31,-0.0382929137976575,0
0,2,0,-0.1076409547804639,0
0,2,1,0.0412820093588977,0
0,2,2,0.02126610764133,0
0,2,3,0.0645882262873118,0
0,2,4,-0.0748403666752934,0
0,2,5,0.039973417833556,0
0,2,6,-0.003674188374344,0
0,2,7,-0.0051287100545789,0
0,2,8,0.0460976154274197,0
0,2,9,0.0756307303185024,0
0,2,10,-0.0056183268132079,0
0,2,11,-0.008774103321111,0
0,2,12,-0.0575087687933306,0
0,2,13,-0.0036740519117346,0
0,2,14,0.0577177032620046,0
0,2,15,-0.0532847353610597,0
0,2,16,-0.0468816114919019,0
0,2,17,0.0848791141979437,0
0,2,18,-0.052472638666384,0
0,2,19,0.0761627824653261,0
0,2,20,-0.0307355188318469,0
0,2,21,0.0176842532417365,0
0,2,22,0.0282629158050324,0
0,2,23,0.0591098819383062,0
0,2,24,-0.0113204527119854,0
0,2,25,-0.02612703166708,0
0,2,26,0.0951879895547742,0
0,2,27,-0.0431055793094539,0
0,2,28,0.0298315096975876,0
0,2,29,-0.1154230152481254,0
0,2,30,0.0434925413953151,0
0,2,31,0.0573934787891092,0
0,3,0,0.1313154436710886,0
0,3,1,0.0134079702564942,0
0,3,2,-0.1130184305460439,0
0,3,3,0.0343394741591482,0
0,3,4,-0.0009894660868876,0
0,3,5,0.0634054990276868,0
0,3,6,-0.0923625642332603,0
0,3,7,0.0600775212290214,0
0,3,8,-0.1256778943471066,0
0,3,9,-0.0699331996286518,0
0,3,10,0.1215787013191056,0
0,3,11,-0.0175587819714539,0
0,3,12,0.0202528661622516,0
0,3,13,0.045575825551372,0
0,3,14,0.0016372802119375,0
0,3,15,0.0078765565263294,0
0,3,16,-0.0773340272721856,0
0,3,17,0.0204665847277913,0
0,3,18,-0.0026658377370372,0
0,3,19,0.0296531767883878,0
0,3,20,0.0489808165619491,0
0,3,21,-0.0986682309989981,0
0,3,22,-0.0662358470803221,0
0,3,23,-0.0236099871355586,0
0,3,24,0.0746911059818613,0
0,3,25,0.011908000278993,0
0,3,26,0.0138576209600607,0
0,3,27,0.0537474975558873,0
0,3,28,-0.0622709065944062,0
0,3,29,0.1467709381396407,0
0,3,30,0.0108402355392076,0
0,3,31,-0.1184654907523219,0
0,4,0,-0.095777408764583,0
0,4,1,0.0024972008918322,0
0,4,2,0.0018598346514235,0
0,4,3,-0.0154733758401255,0
0,4,4,0.051027127651269,0
0,4,5,-0.0586663076512274,0
0,4,6,0.0913420203509378,0
0,4,7,-0.03103544229676,0
0,4,8,-0.0269328390910461,0
0,4,9,0.0794557773535686,0
0,4,10,-0.0929884628454873,0
0,4,11,0.0149411432955661,0
0,4,12,-0.021633658309764,0
0,4,13,0.0324430796801415,0
0,4,14,-0.1196373907834096,0
0,4,15,0.0682237327577215,0
0,4,16,-0.0468092567520568,0
0,4,17,0.0106676126171205,0
0,4,18,0.0180564694120388,0
0,4,19,-0.0626669004199194,0
0,4,20,0.0390102132847316,0
0,4,21,0.0547234841806709,0
0,4,22,0.0086069320907731,0
0,4,23,0.0240800427726071,0
0,4,24,0.0373775346680556,0
0,4,25,-0.1098275324779531,0
0,4,26,0.0316329126870735,0
0,4,27,-0.0815345782616694,0
0,4,28,0.0266727185568684,0
0,4,29,-0.0898642974016135,0
0,4,30,0.0540557370704379,0
0,4,31,0.0480406357907419,0
0,5,0,0.1450112789749309,0
0,5,1,-0.0251094030898204,0
0,5,2,0.0996264870507372,0
0,5,3,-0.0914654920341846,0
0,5,4,0.0549805361306043,0
0,5,5,-0.0033223355095957,0
0,5,6,-0.0461958680733967,0
0,5,7,0.1144185910839592,0
0,5,8,0.0548330385799336,0
0,5,9,-0.1013922706943395,0
0,5,10,0.0494662422922795,0
0,5,11,-0.0379500355197564,0
0,5,12,-0.0092907780907895,0
0,5,13,0.0382354716647697,0
0,5,14,-0.037709349388288,0
0,5,15,0.0188312684024065,0
0,5,16,0.0110502755523489,0
0,5,17,-0.0198771210249488,0
0,5,18,-0.0046661233047351,0
0,5,19,-0.0027112971340415,0
0,5,20,-0.0182749151709913,0
0,5,21,0.0089833933505423,0
0,5,22,-0.0342668289512149,0
0,5,23,-0.0403664826988763,0
0,5,24,0.1033250858814012,0
0,5,25,-0.0116750148464055,0
0,5,26,-0.0062885830175667,0
0,5,27,0.0066339357664688,0
0,5,28,0.0010734054707723,0
0,5,29,-0.0284583915006628,0
0,5,30,0.0486027503385742,0
0,5,31,-0.056407170290434,0
0,6,0,-0.1652759835661519,0
0,6,1,0.1087683686683225,0
0,6,2,-0.1235969277495223,0
0,6,3,0.0630344474333279,0
0,6,4,-0.0316984857540894,0
0,6,5,-0.058311807600927,0
0,6,6,0.0364595295563001,0
0,6,7,-0.0811742790166023,0
0,6,8,0.0158318961476018,0
0,6,9,0.0761018611057444,0
0,6,10,-0.0185268245209344,0
0,6,11,-0.0025835151471691,0
0,6,12,0.1037811349168917,0
0,6,13,-0.0497109912751068,0
0,6,14,-0.0013275374179682,0
0,6,15,0.0175649626698488,0
0,6,16,0.0017220129599297,0
0,6,17,0.0390247693165843,0
0,6,18,-0.034557501967569,0
0,6,19,0.0356568453628161,0
0,6,20,-0.0063625902918447,0
0,6,21,-0.0634471879081035,0
0,6,22,0.1351840714680683,0
0,6,23,-0.0105158183876397,0
