x,y,z,entropy,laplacian
0,6,20,0.3837587446207998,-0.006362590291844716
0,6,21,0.38630502184685106,-0.06344718790810355
0,6,22,0.3519975323703752,0.13518407146806832
0,6,23,0.3779228367254014,-0.010515818387639708
0,6,24,0.3842640739341126,-0.04860834071955655
0,6,25,0.38065740966711037,0.01400291168663692
0,6,26,0.3765213715753156,0.024113194536826477
0,6,27,0.38481253216275313,-0.02904468804839455
0,6,28,0.3824358781613104,-0.0018500973755086747
0,6,29,0.3785781860991692,0.013637364149630127
0,6,30,0.38878342308267133,-0.08234914631077572
0,6,31,0.36019001500274395,0.05371158486646843
0,7,0,0.3580232152117416,0.057078211886801844
0,7,1,0.3744087188083176,-0.027889440465391768
0,7,2,0.3734107142252544,0.04863955114336438
0,7,3,0.38455640683736897,-0.05264843199563418
0,7,4,0.3733248275665809,0.007222082393718576
0,7,5,0.3712594918367321,0.009713404017078098
0,7,6,0.3614764245908923,0.0860847549777104
0,7,7,0.3877672894459847,-0.07232118973556756
0,7,8,0.3668958967227074,0.06645894616762749
0,7,9,0.3871785745476698,-0.09724983459480163
0,7,10,0.38179120598434346,-0.03926988143830146
0,7,11,0.3684034260244104,0.04415696107992595
0,7,12,0.37506549154636154,-0.012968383250156368
0,7,13,0.39511252561267407,-0.09508637775486295
0,7,14,0.3655842049098321,0.0822156417867721
0,7,15,0.3702246900849008,0.02049019925003237
0,7,16,0.3779125279518429,-0.014461156794786989
0,7,17,0.37693852827897867,0.01377426423237571
0,7,18,0.3888324605950487,-0.07029247298363561
0,7,19,0.3832711464851133,0.001272794930714083
0,7,20,0.39208326291153067,-0.06526617222968056
0,7,21,0.3795621953171736,0.016292382940171102
0,7,22,0.3776582008563021,-0.02141000889126543
0,7,23,0.38519941318182854,-0.06747454446181944
0,7,24,0.3821125860276522,0.019804082962011638
0,7,25,0.39067234096466197,-0.07007402973031396
0,7,26,0.38017685352294955,-0.002706998062392829
0,7,27,0.37959816346905173,0.01729263790983837
0,7,28,0.38664033235460027,-0.03958568201450485
0,7,29,0.3705196989843748,0.034168813643189466
0,7,30,0.3793150942820869,-0.03711380770083106
0,7,31,0.3507568291185856,0.08644205077095579
0,8,0,0.34736630840071103,0.1176774452624001
0,8,1,0.376707620652791,-0.007311187838997757
0,8,2,0.3829158477909745,-0.023358188564601035
0,8,3,0.3767276180229167,0.018788003900170658
0,8,4,0.37047496928998114,0.008670951189794662
0,8,5,0.3694501719181543,0.017904831553803735
0,8,6,0.38474240462443343,-0.07334811898470384
0,8,7,0.3765285306048418,0.006331092849924946
0,8,8,0.3756484662550006,-0.014243992020385399
0,8,9,0.358782098493692,0.08528938233066685
0,8,10,0.3619060108101016,0.077782068580452
0,8,11,0.37334696749755847,-0.015149817612543748
0,8,12,0.36708505941491576,0.06402325314290258
0,8,13,0.38032851811288304,0.00684991399703172
0,8,14,0.39101277167576143,-0.08062429278568128
0,8,15,0.38654572762642375,-0.03209483570790583
0,8,16,0.37323707421380214,0.04857585079305626
0,8,17,0.3868699836615126,-0.07749871894298721
0,8,18,0.3636550251823586,0.09405717003322245
0,8,19,0.39500950847207283,-0.13474193050755323
0,8,20,0.36285867537642236,0.12967505231961196
0,8,21,0.381041650501081,-0.026148898796553244
0,8,22,0.3843049412074782,-0.05649529379745322
0,8,23,0.3523127150446591,0.13200636616242312
0,8,24,0.38687633815616307,-0.09634304283653572
0,8,25,0.3561685476409744,0.13885536764254414
